ID,LD50,Smiles
171,0.173,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2]
172,2,C(#N)N=C(N)N
173,2.25,O=C(OC(C)C)NC1=CC=C(OCC)C(OCC)=C1
174,1.25,O=C(OC(C)C)NC1=CC=C(OCC)C(OCC)=C1
175,0.043,CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC
176,0.056,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6
177,2,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
178,3,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
179,3,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
180,5,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
181,2.15,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F
182,0.524,CC1=C(C(=CC=C1)C)N(CCOC)C(=O)CCl
183,1.908,O=C(CCl)N(C(C)COC)C1=C(C)SC=C1C
184,1.068,CC1=CSC(=C1N([C@@H](C)COC)C(=O)CCl)C
185,0.0105,CNC(=O)CSP(=S)(OC)OC
186,0.342,S(C)SC
187,2,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(=NOC)C(=O)NC
188,2.15,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-]
189,2.25,N(c1ccccc1)c2ccccc2
190,15,N(c1ccccc1)c2ccccc2
191,0.071,[Br-].[Br-].c2cccc3c1[n+](cccc1)CC[n+]23
192,0.309,O=C1C2=C(SC(=C(S2)C#N)C#N)C(=O)c3ccccc13
193,2,ClC1=C(C=CC(=C1)NC(=O)N(C)C)Cl
194,0.857,CCCCCCCCCCCCNC(=N)N.CC(=O)O
195,2.05,CCCC/C=C/CCCCO
196,0.037,CC(C)[C@@H]1[C@@H](C)C=C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)/[C@H]([C@@H](C)/C=C/C=C/4\CO[C@@H]5[C@@H](C(=C[C@@H](C(=O)O3)[C@]45O)C)O)O[C@H]3C[C@@H]([C@H]([C@H](C)O3)O[C@H]3C[C@@H]([C@H]([C@H](C)O3)NC)OC)OC)O2)O1
197,2,ClC3=C(C=CC=C3)C1OC(C4=CC=C(F)C=C4)1CN2N=CN=C2
198,1.312,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
199,2.25,CCOC1=NC(=NC(=N1)NC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
200,0.4,C(CN)N
201,0.764,ClCCP(O)(=O)O
202,3,CCCCC1=C(NC(=NC1=O)NCC)C
203,3.776,O=S(OC2=CC1=C(C=C2)OC(OCC)C(C)1C)(C)=O
204,0.00604,O=P(SCCC)(OCC)SCCC
205,0.0329,O=P(SCCC)(OCC)SCCC
206,1.726,CCOc1ccc2NC(C)(C)C=C(C)c2c1
207,0.545,C1CNC(=S)N1
208,5,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
209,0.63,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
210,2,FC2=C(C(F)=CC=C2)C1=NC(C3=C(OCC)C=C(C(C)(C)C)C=C3)CO1
211,5,CCOc2cc(ccc2C(=O)NC(=O)c1c(F)cccc1F)C(C)(C)C
212,5,CCOc2cc(ccc2C(N)COC(=O)c1c(F)cccc1F)C(C)(C)C
213,0.56,ClC(Cl)(Cl)C1=NSC(OCC)=N1
214,1.93,COC1=C(C=CC(=C1)CC=C)O
215,10,COC1=C(C=CC(=C1)CC=C)O
216,2.25,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4
217,2,CC1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3
218,2,O=C2N(Nc1ccccc1)C(=O)N[C@@]2(C)c3ccccc3
219,1.52,CC1(C(=O)NC(=O)N1)C2=CC=CC=C2
220,0.176,CC1(C(=O)NC(=N1)SC)C2=CC=CC=C2
221,1.747,CC(C)(C)C3=CC=C(C=C3)CCOC1=NC=NC2=C1C=CC=C2
222,2.15,ClC1=CC=C(CCC(C#N)(CN3N=CN=C3)C2=CC=CC=C2)C=C1
223,2.51,CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c2ccccc2)O[Sn](CC(C)(C)c3ccccc3)(CC(C)(C)c4ccccc4)CC(C)(C)c5ccccc5)c6ccccc6
224,2,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl
225,0.0023,COP(=S)(OC)Oc1ccc(c(C)c1)[N+](=O)[O-]
226,4,O=C(O)[C@@H](C)Oc1ccc(cc1)Oc2nc3ccc(Cl)cc3o2
227,2,CCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
228,7,O=C(NCCOC1=CC=C(OC2=CC=CC=C2)C=C1)OCC
229,2,C[C@H]1[C@@H]([C@H](C(=O)OC[C@H](C(=O)O1)NC(=O)C2=NC=CC(=C2OCOC(=O)C(C)C)OC)CC3=CC=CC=C3)OC(=O)C(C)C
230,2,n1(c(c(c(=O)n1C(C)C)c1ccccc1C)N)C(=O)SCC=C
231,2,n1(c(c(c(=O)n1C(C)C)c1ccccc1C)N)C(=O)SCC=C
232,2,CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C
233,5.277,CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C
234,2,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O
235,2.8,C(C(=O)[O-])N.C(C(=O)[O-])N.[Fe+2]
236,0.0113,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F
